simTime,id,x,laneNum,v,direction
0.0,1,3401.1,3,11.0,1
1.0,1,3412.93,3,12.37,1
1.0,2,3400.9,3,9.0,1
2.0,1,3426.1,3,13.71,1
2.0,2,3410.76,2,10.43,1
2.0,3,3400.8,3,8.0,1
3.0,1,3440.59,3,14.99,1
3.0,2,3422.04,2,11.85,1
3.0,3,3409.66,3,9.43,1
3.0,4,2.5,3,25.0,1
4.0,1,3456.32,3,16.22,1
4.0,2,3434.74,2,13.26,1
4.0,3,3419.6,1,10.44,1
4.0,4,27.93,3,25.71,1
4.0,5,2.3,2,23.0,1
5.0,1,3473.23,3,17.37,1
5.0,2,3448.84,2,14.66,1
5.0,3,3430.89,1,11.86,1
5.0,4,54.02,3,26.34,1
5.0,5,25.53,2,23.38,1
5.0,6,2.7,1,27.0,1
6.0,1,3491.24,3,18.43,1
6.0,2,3464.32,2,16.03,1
6.0,3,3443.6,1,13.27,1
6.0,4,80.7,3,26.89,1
6.0,5,49.1,2,23.69,1
6.0,6,29.98,1,27.46,1
6.0,7,2.3,2,23.0,1
7.0,1,3510.27,3,19.4,1
7.0,2,3481.16,2,17.38,1
7.0,3,3457.71,1,14.67,1
7.0,8,3401.1,3,11.0,1
7.0,4,107.88,3,27.37,1
7.0,5,72.94,2,23.94,1
7.0,6,57.69,1,27.86,1
7.0,7,25.7,2,23.63,1
8.0,1,3530.2,3,20.28,1
8.0,2,3499.33,2,18.69,1
8.0,3,3473.21,1,16.04,1
8.0,8,3412.95,3,12.42,1
8.0,4,135.5,3,27.78,1
8.0,5,97.01,2,24.15,1
8.0,6,85.76,1,28.21,1
8.0,7,49.63,2,24.11,1
8.0,9,2.8,2,28.0,1
9.0,1,3550.95,3,21.05,1
9.0,2,3518.78,2,19.96,1
9.0,3,3490.06,1,17.39,1
9.0,8,3426.21,3,13.82,1
9.0,4,163.49,3,28.13,1
9.0,5,121.27,2,24.32,1
9.0,6,114.15,1,28.5,1
9.0,7,73.98,2,24.5,1
9.0,9,29.88,2,26.59,1
9.0,10,2.3,2,23.0,1
10.0,1,3572.41,3,21.72,1
10.0,2,3539.48,2,21.19,1
10.0,3,3508.24,1,18.7,1
10.0,8,3440.87,3,15.21,1
10.0,11,3400.8,3,8.0,1
10.0,4,191.81,3,28.44,1
10.0,5,145.67,2,24.46,1
10.0,6,142.8,1,28.74,1
10.0,7,98.67,2,24.8,1
10.0,9,55.97,2,25.83,1
10.0,10,25.61,2,23.48,1
11.0,1,3594.48,3,22.3,1
11.0,2,3561.38,2,22.36,1
11.0,3,3527.71,1,19.97,1
11.0,8,3456.9,3,16.57,1
11.0,11,3409.65,3,9.42,1
11.0,4,220.4,3,28.69,1
11.0,6,171.67,1,28.95,1
11.0,5,170.2,2,24.57,1
11.0,7,123.62,2,25.03,1
11.0,9,81.54,2,25.43,1
11.0,10,49.24,2,23.72,1
11.0,12,2.5,2,25.0,1
12.0,1,3617.08,3,22.79,1
12.0,2,3584.4,2,23.46,1
12.0,3,3548.42,1,21.2,1
12.0,8,3474.27,3,17.91,1
